sortNumber;code;officialTitle;mediumTitle;shortTitle;note
1;1;Bratislavsky kraj;;Bratislavsky kraj;BL-1-SK010
2;2;Trnavsky kraj;;Trnavsky kraj;TA-2-SK021
3;3;Trenciansky kraj;;Trenciansky kraj;TC-2-SK022
4;4;Nitriansky kraj;;Nitriansky kraj;NI-2-SK023
5;5;Zilinsky kraj;;Zilinsky kraj;ZI-3-SK031
6;6;Banskobystricky kraj;;Banskobystricky kraj;BC-3-SK032
7;7;Presovsky kraj;;Presovsky kraj;PV-4-SK041
8;8;Kosicky kraj;;Kosicky kraj;KI-4-SK042
