sortNumber;code;officialTitle;mediumTitle;shortTitle;note
118;SK0211501743;Luc na Ostrove;Luc na Ostrove;Luc na Ostrove;501743
119;SK0211501760;Medvedov;Medvedov;Medvedov;501760
120;SK0211501778;Mierovo;Mierovo;Mierovo;501778
121;SK0211501786;Michal na Ostrove;Michal na Ostrove;Michal na Ostrove;501786
122;SK0211501808;Novy Zivot;Novy Zivot;Novy Zivot;501808
123;SK0211501816;Ohrady;Ohrady;Ohrady;501816
124;SK0211501824;Okoc;Okoc;Okoc;501824
125;SK0211501832;Oldza;Oldza;Oldza;501832
126;SK0211501859;Orechova Poton;Orechova Poton;Orechova Poton;501859
127;SK0211501867;Padan;Padan;Padan;501867
128;SK0211501875;Sap;Sap;Sap;501875
129;SK0211501883;Patas;Patas;Patas;501883
130;SK0211501891;Rohovce;Rohovce;Rohovce;501891
131;SK0211501905;Samorin;Samorin;Samorin;501905
132;SK0211501913;Stvrtok na Ostrove;Stvrtok na Ostrove;Stvrtok na Ostrove;501913
133;SK0211501921;Topolniky;Topolniky;Topolniky;501921
134;SK0211501930;Narad;Narad;Narad;501930
135;SK0211501956;Trnavka;Trnavka;Trnavka;501956
136;SK0211501964;Trstena na Ostrove;Trstena na Ostrove;Trstena na Ostrove;501964
137;SK0211501972;Velka Paka;Velka Paka;Velka Paka;501972
138;SK0211501981;Velke Blahovo;Velke Blahovo;Velke Blahovo;501981
139;SK0211501999;Vojka nad Dunajom;Vojka nad Dunajom;Vojka nad Dunajom;501999
140;SK0211502006;Vrakun;Vrakun;Vrakun;502006
141;SK0211502014;Vydrany;Vydrany;Vydrany;502014
142;SK0211502022;Zlate Klasy;Zlate Klasy;Zlate Klasy;502022
143;SK0211503461;Bodiky;Bodiky;Bodiky;503461
144;SK0211555517;Bellova Ves;Bellova Ves;Bellova Ves;555517
145;SK0211555541;Dunajsky Klatov;Dunajsky Klatov;Dunajsky Klatov;555541
146;SK0211555568;Horne Myto;Horne Myto;Horne Myto;555568
147;SK0211555576;Trhova Hradska;Trhova Hradska;Trhova Hradska;555576
148;SK0211555606;Macov;Macov;Macov;555606
149;SK0211555649;Mad;Mad;Mad;555649
150;SK0211555665;Male Dvorniky;Male Dvorniky;Male Dvorniky;555665
151;SK0211555673;Velke Dvorniky;Velke Dvorniky;Velke Dvorniky;555673
152;SK0211555720;Povoda;Povoda;Povoda;555720
153;SK0211555746;Vieska;Vieska;Vieska;555746
154;SK0211580554;Cenkovce;Cenkovce;Cenkovce;580554
155;SK0211580597;Kyselica;Kyselica;Kyselica;580597
156;SK0211582522;Potonske Luky;Potonske Luky;Potonske Luky;582522
157;SK0212503665;Galanta;Galanta;Galanta;503665
158;SK0212503673;Abraham;Abraham;Abraham;503673
159;SK0212503690;Cierna Voda;Cierna Voda;Cierna Voda;503690
160;SK0212503703;Cierny Brod;Cierny Brod;Cierny Brod;503703
161;SK0212503746;Dolne Saliby;Dolne Saliby;Dolne Saliby;503746
162;SK0212503754;Dolny Chotar;Dolny Chotar;Dolny Chotar;503754
163;SK0212503762;Gan;Gan;Gan;503762
164;SK0212503771;Horne Saliby;Horne Saliby;Horne Saliby;503771
165;SK0212503789;Hoste;Hoste;Hoste;503789
166;SK0212503827;Janovce;Janovce;Janovce;503827
167;SK0212503835;Jelka;Jelka;Jelka;503835
168;SK0212503843;Kajal;Kajal;Kajal;503843
169;SK0212503860;Kosuty;Kosuty;Kosuty;503860
170;SK0212503878;Kralov Brod;Kralov Brod;Kralov Brod;503878
171;SK0212503924;Mostova;Mostova;Mostova;503924
172;SK0212503959;Pata;Pata;Pata;503959
173;SK0212503967;Puste Sady;Puste Sady;Puste Sady;503967
174;SK0212503975;Puste Ulany;Puste Ulany;Puste Ulany;503975
175;SK0212504009;Sered;Sered;Sered;504009
176;SK0212504017;Sladkovicovo;Sladkovicovo;Sladkovicovo;504017
177;SK0212504033;Salgocka;Salgocka;Salgocka;504033
178;SK0212504041;Sintava;Sintava;Sintava;504041
179;SK0212504050;Soporna;Soporna;Soporna;504050
180;SK0212504076;Tomasikovo;Tomasikovo;Tomasikovo;504076
181;SK0212504084;Topolnica;Topolnica;Topolnica;504084
182;SK0212504106;Trstice;Trstice;Trstice;504106
183;SK0212504114;Vahovce;Vahovce;Vahovce;504114
184;SK0212504122;Velka Maca;Velka Maca;Velka Maca;504122
185;SK0212504131;Velke Ulany;Velke Ulany;Velke Ulany;504131
186;SK0212504149;Velky Grob;Velky Grob;Velky Grob;504149
187;SK0212504157;Vinohrady nad Vahom;Vinohrady nad Vahom;Vinohrady nad Vahom;504157
188;SK0212504173;Vozokany;Vozokany;Vozokany;504173
189;SK0212504181;Zemianske Sady;Zemianske Sady;Zemianske Sady;504181
190;SK0212555754;Matuskovo;Matuskovo;Matuskovo;555754
191;SK0212555789;Dolna Streda;Dolna Streda;Dolna Streda;555789
192;SK0212582638;Mala Maca;Mala Maca;Mala Maca;582638
193;SK0213506800;Bojnicky;Bojnicky;Bojnicky;506800
194;SK0213506885;Cervenik;Cervenik;Cervenik;506885
195;SK0213506958;Dolne Otrokovce;Dolne Otrokovce;Dolne Otrokovce;506958
196;SK0213506966;Dolne Trhoviste;Dolne Trhoviste;Dolne Trhoviste;506966
197;SK0213507024;Dvorniky;Dvorniky;Dvorniky;507024
198;SK0213507032;Hlohovec;Hlohovec;Hlohovec;507032
199;SK0213507075;Horne Otrokovce;Horne Otrokovce;Horne Otrokovce;507075
200;SK0213507130;Jalsove;Jalsove;Jalsove;507130
201;SK0213507172;Klacany;Klacany;Klacany;507172
202;SK0213507202;Koplotovce;Koplotovce;Koplotovce;507202
203;SK0213507253;Leopoldov;Leopoldov;Leopoldov;507253
204;SK0213507288;Madunice;Madunice;Madunice;507288
205;SK0213507326;Merasice;Merasice;Merasice;507326
206;SK0213507415;Pastuchov;Pastuchov;Pastuchov;507415
207;SK0213507521;Sasinkovo;Sasinkovo;Sasinkovo;507521
208;SK0213507539;Siladice;Siladice;Siladice;507539
209;SK0213507661;Trakovice;Trakovice;Trakovice;507661
210;SK0213507792;Zlkovce;Zlkovce;Zlkovce;507792
211;SK0213518620;Ratkovce;Ratkovce;Ratkovce;518620
212;SK0213556521;Dolne Zelenice;Dolne Zelenice;Dolne Zelenice;556521
213;SK0213556530;Horne Zelenice;Horne Zelenice;Horne Zelenice;556530
214;SK0213556602;Horne Trhoviste;Horne Trhoviste;Horne Trhoviste;556602
215;SK0213556611;Tekoldany;Tekoldany;Tekoldany;556611
216;SK0213556645;Teplicky;Teplicky;Teplicky;556645
217;SK0214506834;Borovce;Borovce;Borovce;506834
218;SK0214506982;Dolny Lopasov;Dolny Lopasov;Dolny Lopasov;506982
219;SK0214506991;Drahovce;Drahovce;Drahovce;506991
220;SK0214507008;Dubovany;Dubovany;Dubovany;507008
221;SK0214507121;Chtelnica;Chtelnica;Chtelnica;507121
222;SK0214507199;Kocin-Lancar;Kocin-Lancar;Kocin-Lancar;507199
223;SK0214507229;Krakovany;Krakovany;Krakovany;507229
224;SK0214507342;Moravany nad Vahom;Moravany nad Vahom;Moravany nad Vahom;507342
225;SK0214507369;Nizna;Nizna;Nizna;507369
226;SK0214507385;Ostrov;Ostrov;Ostrov;507385
227;SK0214507431;Pecenady;Pecenady;Pecenady;507431
228;SK0214507440;Piestany;Piestany;Piestany;507440
229;SK0214507466;Prasnik;Prasnik;Prasnik;507466
230;SK0214507482;Rakovice;Rakovice;Rakovice;507482
231;SK0214507491;Ratnovce;Ratnovce;Ratnovce;507491
232;SK0214507563;Sokolovce;Sokolovce;Sokolovce;507563
233;SK0214507679;Trebatice;Trebatice;Trebatice;507679
234;SK0214507709;Velke Kostolany;Velke Kostolany;Velke Kostolany;507709
235;SK0214507725;Vesele;Vesele;Vesele;507725
236;SK0214507750;Vrbove;Vrbove;Vrbove;507750
237;SK0214556548;Sterusy;Sterusy;Sterusy;556548
238;SK0214556572;Velke Orviste;Velke Orviste;Velke Orviste;556572
239;SK0214556581;Hubina;Hubina;Hubina;556581
240;SK0214558338;Ducove;Ducove;Ducove;558338
241;SK0214558354;Basovce;Basovce;Basovce;558354
242;SK0214558397;Sipkove;Sipkove;Sipkove;558397
243;SK0214581399;Banka;Banka;Banka;581399
244;SK0215504203;Senica;Senica;Senica;504203
245;SK0215504211;Bilkove Humence;Bilkove Humence;Bilkove Humence;504211
246;SK0215504220;Borsky Svaty Jur;Borsky Svaty Jur;Borsky Svaty Jur;504220
247;SK0215504238;Borsky Mikulas;Borsky Mikulas;Borsky Mikulas;504238
248;SK0215504297;Cerova;Cerova;Cerova;504297
249;SK0215504319;Cary;Cary;Cary;504319
250;SK0215504327;Castkov;Castkov;Castkov;504327
251;SK0215504335;Dojc;Dojc;Dojc;504335
252;SK0215504360;Hlboke;Hlboke;Hlboke;504360
253;SK0215504386;Hradiste pod Vratnom;Hradiste pod Vratnom;Hradiste pod Vratnom;504386
254;SK0215504416;Jablonica;Jablonica;Jablonica;504416
255;SK0215504475;Kovalov;Kovalov;Kovalov;504475
256;SK0215504491;Kuklov;Kuklov;Kuklov;504491
257;SK0215504513;Kuty;Kuty;Kuty;504513
258;SK0215504521;Laksarska Nova Ves;Laksarska Nova Ves;Laksarska Nova Ves;504521
259;SK0215504572;Moravsky Svaty Jan;Moravsky Svaty Jan;Moravsky Svaty Jan;504572
260;SK0215504602;Osuske;Osuske;Osuske;504602
261;SK0215504645;Plavecky Peter;Plavecky Peter;Plavecky Peter;504645
262;SK0215504653;Podbranc;Podbranc;Podbranc;504653
263;SK0215504700;Prietrz;Prietrz;Prietrz;504700
264;SK0215504726;Prievaly;Prievaly;Prievaly;504726
265;SK0215504777;Rovensko;Rovensko;Rovensko;504777
266;SK0215504823;Smolinske;Smolinske;Smolinske;504823
267;SK0215504831;Smrdaky;Smrdaky;Smrdaky;504831
268;SK0215504840;Sobotiste;Sobotiste;Sobotiste;504840
269;SK0215504882;Sajdikove Humence;Sajdikove Humence;Sajdikove Humence;504882
270;SK0215504891;Sastin-Straze;Sastin-Straze;Sastin-Straze;504891
271;SK0215504904;Stefanov;Stefanov;Stefanov;504904
272;SK0215556114;Sekule;Sekule;Sekule;556114
273;SK0215556122;Rohov;Rohov;Rohov;556122
274;SK0215556131;Rybky;Rybky;Rybky;556131
275;SK0216504271;Brodske;Brodske;Brodske;504271
276;SK0216504343;Dubovce;Dubovce;Dubovce;504343
277;SK0216504351;Gbely;Gbely;Gbely;504351
278;SK0216504378;Holic;Holic;Holic;504378
279;SK0216504394;Chropov;Chropov;Chropov;504394
280;SK0216504432;Katov;Katov;Katov;504432
281;SK0216504459;Kopcany;Kopcany;Kopcany;504459
282;SK0216504483;Kovalovec;Kovalovec;Kovalovec;504483
283;SK0216504530;Letnicie;Letnicie;Letnicie;504530
284;SK0216504548;Lopasov;Lopasov;Lopasov;504548
285;SK0216504564;Mokry Haj;Mokry Haj;Mokry Haj;504564
286;SK0216504599;Oreske;Oreske;Oreske;504599
287;SK0216504611;Petrova Ves;Petrova Ves;Petrova Ves;504611
288;SK0216504670;Popudinske Mocidlany;Popudinske Mocidlany;Popudinske Mocidlany;504670
289;SK0216504718;Prietrzka;Prietrzka;Prietrzka;504718
290;SK0216504734;Radimov;Radimov;Radimov;504734
291;SK0216504742;Radosovce;Radosovce;Radosovce;504742
292;SK0216504815;Skalica;Skalica;Skalica;504815
293;SK0216504912;Trnovec;Trnovec;Trnovec;504912
294;SK0216504939;Unin;Unin;Unin;504939
295;SK0216504963;Vradiste;Vradiste;Vradiste;504963
296;SK0217506745;Trnava;Trnava;Trnava;506745
297;SK0217506788;Binovce;Binovce;Binovce;506788
298;SK0217506796;Bohdanovce nad Trnavou;Bohdanovce nad Trnavou;Bohdanovce nad Trnavou;506796
299;SK0217506818;Boleraz;Boleraz;Boleraz;506818
300;SK0217506826;Borova;Borova;Borova;506826
301;SK0217506842;Brestovany;Brestovany;Brestovany;506842
302;SK0217506851;Bucany;Bucany;Bucany;506851
303;SK0217506869;Bukova;Bukova;Bukova;506869
304;SK0217506877;Cifer;Cifer;Cifer;506877
305;SK0217506893;Dechtice;Dechtice;Dechtice;506893
306;SK0217506915;Dobra Voda;Dobra Voda;Dobra Voda;506915
307;SK0217506923;Dolna Krupa;Dolna Krupa;Dolna Krupa;506923
308;SK0217506931;Dolne Dubove;Dolne Dubove;Dolne Dubove;506931
309;SK0217506940;Dolne Oresany;Dolne Oresany;Dolne Oresany;506940
310;SK0217507041;Horna Krupa;Horna Krupa;Horna Krupa;507041
311;SK0217507059;Horne Dubove;Horne Dubove;Horne Dubove;507059
312;SK0217507067;Horne Oresany;Horne Oresany;Horne Oresany;507067
313;SK0217507156;Jaslovske Bohunice;Jaslovske Bohunice;Jaslovske Bohunice;507156
314;SK0217507164;Katlovce;Katlovce;Katlovce;507164
315;SK0217507211;Kosolna;Kosolna;Kosolna;507211
316;SK0217507296;Majcichov;Majcichov;Majcichov;507296
317;SK0217507318;Malzenice;Malzenice;Malzenice;507318
318;SK0217507351;Nahac;Nahac;Nahac;507351
319;SK0217507512;Ruzindol;Ruzindol;Ruzindol;507512
320;SK0217507555;Smolenice;Smolenice;Smolenice;507555
321;SK0217507571;Sucha nad Parnou;Sucha nad Parnou;Sucha nad Parnou;507571
322;SK0217507601;Spacince;Spacince;Spacince;507601
323;SK0217507636;Surovce;Surovce;Surovce;507636
324;SK0217507687;Trstin;Trstin;Trstin;507687
325;SK0217507741;Voderady;Voderady;Voderady;507741
326;SK0217507768;Zavar;Zavar;Zavar;507768
327;SK0217507776;Zelenec;Zelenec;Zelenec;507776
328;SK0217556483;Krizovany nad Dudvahom;Krizovany nad Dudvahom;Krizovany nad Dudvahom;556483
329;SK0217556491;Opoj;Opoj;Opoj;556491
330;SK0217556513;Vlckovce;Vlckovce;Vlckovce;556513
331;SK0217556556;Pavlice;Pavlice;Pavlice;556556
332;SK0217556564;Slovenska Nova Ves;Slovenska Nova Ves;Slovenska Nova Ves;556564
333;SK0217556599;Dlha;Dlha;Dlha;556599
334;SK0217556653;Radosovce;Radosovce;Radosovce;556653
335;SK0217556661;Dolne Lovcice;Dolne Lovcice;Dolne Lovcice;556661
336;SK0217556670;Selpice;Selpice;Selpice;556670
337;SK0217556688;Losonec;Losonec;Losonec;556688
338;SK0217580473;Biely Kostol;Biely Kostol;Biely Kostol;580473
339;SK0217581020;Hrnciarovce nad Parnou;Hrnciarovce nad Parnou;Hrnciarovce nad Parnou;581020
340;SK0217581488;Zvoncin;Zvoncin;Zvoncin;581488
341;SK0221505056;Lutov;Lutov;Lutov;505056
342;SK0221505072;Mala Hradna;Mala Hradna;Mala Hradna;505072
343;SK0221505102;Male Hoste;Male Hoste;Male Hoste;505102
344;SK0221505153;Miezgovce;Miezgovce;Miezgovce;505153
345;SK0221505200;Nedasovce;Nedasovce;Nedasovce;505200
346;SK0221505277;Omastina;Omastina;Omastina;505277
347;SK0221505331;Pecenany;Pecenany;Pecenany;505331
348;SK0221505358;Podluzany;Podluzany;Podluzany;505358
349;SK0221505382;Pravotice;Pravotice;Pravotice;505382
350;SK0221505412;Prusy;Prusy;Prusy;505412
351;SK0221505447;Ruskovce;Ruskovce;Ruskovce;505447
352;SK0221505455;Rybany;Rybany;Rybany;505455
353;SK0221505471;Slatina nad Bebravou;Slatina nad Bebravou;Slatina nad Bebravou;505471
354;SK0221505480;Slatinka nad Bebravou;Slatinka nad Bebravou;Slatinka nad Bebravou;505480
355;SK0221505544;Sipkov;Sipkov;Sipkov;505544
356;SK0221505552;Sisov;Sisov;Sisov;505552
357;SK0221505579;Timoradza;Timoradza;Timoradza;505579
358;SK0221505595;Trebichava;Trebichava;Trebichava;505595
359;SK0221505625;Uhrovec;Uhrovec;Uhrovec;505625
360;SK0221505633;Uhrovske Podhradie;Uhrovske Podhradie;Uhrovske Podhradie;505633
361;SK0221505684;Velke Hoste;Velke Hoste;Velke Hoste;505684
362;SK0221505692;Velke Chlievany;Velke Chlievany;Velke Chlievany;505692
363;SK0221505765;Vysocany;Vysocany;Vysocany;505765
364;SK0221505790;Zlatniky;Zlatniky;Zlatniky;505790
365;SK0221505811;Zitna-Radisa;Zitna-Radisa;Zitna-Radisa;505811
366;SK0221542652;Banovce nad Bebravou;Banovce nad Bebravou;Banovce nad Bebravou;542652
367;SK0221542741;Brezolupy;Brezolupy;Brezolupy;542741
368;SK0221542776;Cimenna;Cimenna;Cimenna;542776
369;SK0221542806;Cierna Lehota;Cierna Lehota;Cierna Lehota;542806
370;SK0221542822;Dezerice;Dezerice;Dezerice;542822
371;SK0221542849;Dolne Nastice;Dolne Nastice;Dolne Nastice;542849
372;SK0221542857;Dubnicka;Dubnicka;Dubnicka;542857
373;SK0221542873;Dvorec;Dvorec;Dvorec;542873
374;SK0221542890;Halacovce;Halacovce;Halacovce;542890
375;SK0221542920;Horne Nastice;Horne Nastice;Horne Nastice;542920
376;SK0221543080;Krasna Ves;Krasna Ves;Krasna Ves;543080
377;SK0221543136;Ksinna;Ksinna;Ksinna;543136
378;SK0221545651;Velke Drzkovce;Velke Drzkovce;Velke Drzkovce;545651
379;SK0221556289;Otrhanky;Otrhanky;Otrhanky;556289
380;SK0221556360;Libichava;Libichava;Libichava;556360
381;SK0221556408;Chuda Lehota;Chuda Lehota;Chuda Lehota;556408
382;SK0221556742;Pochabany;Pochabany;Pochabany;556742
383;SK0221556793;Borcany;Borcany;Borcany;556793
384;SK0222512885;Bolesov;Bolesov;Bolesov;512885
385;SK0222512931;Cerveny Kamen;Cerveny Kamen;Cerveny Kamen;512931
386;SK0222513016;Dubnica nad Vahom;Dubnica nad Vahom;Dubnica nad Vahom;513016
387;SK0222513024;Dulov;Dulov;Dulov;513024
388;SK0222513091;Horna Poruba;Horna Poruba;Horna Poruba;513091
389;SK0222513156;Ilava;Ilava;Ilava;513156
390;SK0222513253;Koseca;Koseca;Koseca;513253
391;SK0222513296;Ladce;Ladce;Ladce;513296
392;SK0222513351;Kosecke Podhradie;Kosecke Podhradie;Kosecke Podhradie;513351
393;SK0222513385;Mikusovce;Mikusovce;Mikusovce;513385
394;SK0222513440;Nova Dubnica;Nova Dubnica;Nova Dubnica;513440
395;SK0222513598;Pruske;Pruske;Pruske;513598
396;SK0222513725;Tuchyna;Tuchyna;Tuchyna;513725
397;SK0222513865;Zliechov;Zliechov;Zliechov;513865
398;SK0222557391;Borcice;Borcice;Borcice;557391
399;SK0222557404;Kamenicany;Kamenicany;Kamenicany;557404
400;SK0222557412;Sedmerovec;Sedmerovec;Sedmerovec;557412
401;SK0222557421;Slavnica;Slavnica;Slavnica;557421
402;SK0222557617;Krivoklat;Krivoklat;Krivoklat;557617
403;SK0222557625;Vrsatske Podhradie;Vrsatske Podhradie;Vrsatske Podhradie;557625
404;SK0222582301;Bohunice;Bohunice;Bohunice;582301
405;SK0223504254;Brestovec;Brestovec;Brestovec;504254
406;SK0223504262;Brezova pod Bradlom;Brezova pod Bradlom;Brezova pod Bradlom;504262
407;SK0223504289;Bukovec;Bukovec;Bukovec;504289
408;SK0223504408;Chvojnica;Chvojnica;Chvojnica;504408
409;SK0223504424;Jablonka;Jablonka;Jablonka;504424
410;SK0223504467;Kosariska;Kosariska;Kosariska;504467
411;SK0223504581;Myjava;Myjava;Myjava;504581
412;SK0223504661;Polianka;Polianka;Polianka;504661
413;SK0223504688;Poriadie;Poriadie;Poriadie;504688
414;SK0223504696;Priepasne;Priepasne;Priepasne;504696
415;SK0223504793;Rudnik;Rudnik;Rudnik;504793
416;SK0223504866;Stara Myjava;Stara Myjava;Stara Myjava;504866
417;SK0223504971;Vrbovce;Vrbovce;Vrbovce;504971
418;SK0223506079;Hrasne;Hrasne;Hrasne;506079
419;SK0223506141;Kostolne;Kostolne;Kostolne;506141
420;SK0223506150;Krajne;Krajne;Krajne;506150
421;SK0223506419;Podkylava;Podkylava;Podkylava;506419
422;SK0224505846;Beckov;Beckov;Beckov;505846
423;SK0224505871;Bosaca;Bosaca;Bosaca;505871
424;SK0224505889;Brunovce;Brunovce;Brunovce;505889
425;SK0224505897;Bzince pod Javorinou;Bzince pod Javorinou;Bzince pod Javorinou;505897
426;SK0224505901;Cachtice;Cachtice;Cachtice;505901
427;SK0224505919;Castkovce;Castkovce;Castkovce;505919
428;SK0224505951;Dolne Srnie;Dolne Srnie;Dolne Srnie;505951
429;SK0224505994;Horka nad Vahom;Horka nad Vahom;Horka nad Vahom;505994
430;SK0224506001;Horna Streda;Horna Streda;Horna Streda;506001
431;SK0224506052;Hradok;Hradok;Hradok;506052
432;SK0224506061;Hrachoviste;Hrachoviste;Hrachoviste;506061
433;SK0224506109;Kalnica;Kalnica;Kalnica;506109
434;SK0224506125;Kocovce;Kocovce;Kocovce;506125
435;SK0224506184;Lubina;Lubina;Lubina;506184
436;SK0224506206;Luka;Luka;Luka;506206
437;SK0224506249;Modrova;Modrova;Modrova;506249
438;SK0224506257;Modrovka;Modrovka;Modrovka;506257
439;SK0224506265;Moravske Lieskove;Moravske Lieskove;Moravske Lieskove;506265
440;SK0224506303;Nova Bosaca;Nova Bosaca;Nova Bosaca;506303
441;SK0224506311;Nova Lehota;Nova Lehota;Nova Lehota;506311
442;SK0224506338;Nove Mesto nad Vahom;Nove Mesto nad Vahom;Nove Mesto nad Vahom;506338
443;SK0224506346;Ockov;Ockov;Ockov;506346
444;SK0224506401;Pobedim;Pobedim;Pobedim;506401
445;SK0224506427;Podolie;Podolie;Podolie;506427
446;SK0224506435;Potvorice;Potvorice;Potvorice;506435
447;SK0224506443;Povazany;Povazany;Povazany;506443
448;SK0224506516;Stara Lehota;Stara Lehota;Stara Lehota;506516
449;SK0224506524;Stara Tura;Stara Tura;Stara Tura;506524
450;SK0224506583;Trencianske Bohuslavice;Trencianske Bohuslavice;Trencianske Bohuslavice;506583
451;SK0224506630;Vadovce;Vadovce;Vadovce;506630
452;SK0224506672;Visnove;Visnove;Visnove;506672
453;SK0224556424;Haluzice;Haluzice;Haluzice;556424
454;SK0224556441;Zemianske Podhradie;Zemianske Podhradie;Zemianske Podhradie;556441
455;SK0224556459;Nova Ves nad Vahom;Nova Ves nad Vahom;Nova Ves nad Vahom;556459
456;SK0225505129;Male Krstenany;Male Krstenany;Male Krstenany;505129
457;SK0225505170;Nadlice;Nadlice;Nadlice;505170
458;SK0225505196;Nedanovce;Nedanovce;Nedanovce;505196
459;SK0225505307;Ostratice;Ostratice;Ostratice;505307
460;SK0225505315;Partizanske;Partizanske;Partizanske;505315
461;SK0225505323;Pazit;Pazit;Pazit;505323
462;SK0225505463;Skacany;Skacany;Skacany;505463
463;SK0225505706;Velke Krstenany;Velke Krstenany;Velke Krstenany;505706
464;SK0225505722;Velke Uherce;Velke Uherce;Velke Uherce;505722
465;SK0225505731;Velky Kliz;Velky Kliz;Velky Kliz;505731
466;SK0225505803;Zabokreky nad Nitrou;Zabokreky nad Nitrou;Zabokreky nad Nitrou;505803
467;SK0225542733;Bosany;Bosany;Bosany;542733
468;SK0225542962;Hradiste;Hradiste;Hradiste;542962
469;SK0225543004;Chynorany;Chynorany;Chynorany;543004
470;SK0225543047;Klatova Nova Ves;Klatova Nova Ves;Klatova Nova Ves;543047
471;SK0225543055;Kolacno;Kolacno;Kolacno;543055
472;SK0225556173;Livina;Livina;Livina;556173
473;SK0225556190;Livinske Opatovce;Livinske Opatovce;Livinske Opatovce;556190
474;SK0225556246;Krasno;Krasno;Krasno;556246
475;SK0225556271;Turcianky;Turcianky;Turcianky;556271
476;SK0225556416;Jeskova Ves;Jeskova Ves;Jeskova Ves;556416
477;SK0225580449;Brodzany;Brodzany;Brodzany;580449
478;SK0225580953;Male Uherce;Male Uherce;Male Uherce;580953
479;SK0226512842;Povazska Bystrica;Povazska Bystrica;Povazska Bystrica;512842
480;SK0226512915;Brvniste;Brvniste;Brvniste;512915
481;SK0226512966;Dolna Marikova;Dolna Marikova;Dolna Marikova;512966
482;SK0226513008;Domaniza;Domaniza;Domaniza;513008
483;SK0226513083;Horna Marikova;Horna Marikova;Horna Marikova;513083
484;SK0226513172;Jasenica;Jasenica;Jasenica;513172
485;SK0226513245;Kostolec;Kostolec;Kostolec;513245
486;SK0226513466;Papradno;Papradno;Papradno;513466
487;SK0226513474;Plevnik-Drienove;Plevnik-Drienove;Plevnik-Drienove;513474
488;SK0226513563;Precin;Precin;Precin;513563
489;SK0226513601;Pruzina;Pruzina;Pruzina;513601
490;SK0226513687;Stupne;Stupne;Stupne;513687
491;SK0226513741;Udica;Udica;Udica;513741
492;SK0226513784;Vrchtepla;Vrchtepla;Vrchtepla;513784
493;SK0226513822;Zaskalie;Zaskalie;Zaskalie;513822
494;SK0226518913;Sverepec;Sverepec;Sverepec;518913
495;SK0226546640;Dolny Lieskov;Dolny Lieskov;Dolny Lieskov;546640
496;SK0226557480;Slopna;Slopna;Slopna;557480
497;SK0226557510;Hatne;Hatne;Hatne;557510
498;SK0226557552;Kliestina;Kliestina;Kliestina;557552
499;SK0226557561;Celkova Lehota;Celkova Lehota;Celkova Lehota;557561
500;SK0226557579;Male Lednice;Male Lednice;Male Lednice;557579
501;SK0226557595;Sadocne;Sadocne;Sadocne;557595
502;SK0226557609;Durdove;Durdove;Durdove;557609
503;SK0226557633;Bodina;Bodina;Bodina;557633
504;SK0226558222;Pocarova;Pocarova;Pocarova;558222
505;SK0226580856;Horny Lieskov;Horny Lieskov;Horny Lieskov;580856
506;SK0226580864;Podskalie;Podskalie;Podskalie;580864
507;SK0227513881;Prievidza;Prievidza;Prievidza;513881
508;SK0227513903;Bojnice;Bojnice;Bojnice;513903
509;SK0227513911;Bystricany;Bystricany;Bystricany;513911
510;SK0227513920;Cigel;Cigel;Cigel;513920
511;SK0227513938;Cavoj;Cavoj;Cavoj;513938
512;SK0227513946;Cerenany;Cerenany;Cerenany;513946
513;SK0227513954;Diviacka Nova Ves;Diviacka Nova Ves;Diviacka Nova Ves;513954
514;SK0227513962;Diviaky nad Nitricou;Diviaky nad Nitricou;Diviaky nad Nitricou;513962
515;SK0227513971;Dlzin;Dlzin;Dlzin;513971
516;SK0227513989;Dolne Vestenice;Dolne Vestenice;Dolne Vestenice;513989
517;SK0227513997;Handlova;Handlova;Handlova;513997
518;SK0227514004;Horna Ves;Horna Ves;Horna Ves;514004
519;SK0227514012;Horne Vestenice;Horne Vestenice;Horne Vestenice;514012
520;SK0227514021;Chrenovec-Brusno;Chrenovec-Brusno;Chrenovec-Brusno;514021
521;SK0227514039;Chvojnica;Chvojnica;Chvojnica;514039
522;SK0227514063;Kamenec pod Vtacnikom;Kamenec pod Vtacnikom;Kamenec pod Vtacnikom;514063
523;SK0227514071;Kanianka;Kanianka;Kanianka;514071
524;SK0227514080;Klacno;Klacno;Klacno;514080
525;SK0227514098;Kocurany;Kocurany;Kocurany;514098
526;SK0227514101;Kostolna Ves;Kostolna Ves;Kostolna Ves;514101
527;SK0227514110;Kos;Kos;Kos;514110
528;SK0227514128;Lazany;Lazany;Lazany;514128
529;SK0227514136;Lehota pod Vtacnikom;Lehota pod Vtacnikom;Lehota pod Vtacnikom;514136
530;SK0227514144;Liestany;Liestany;Liestany;514144
531;SK0227514179;Mala Causa;Mala Causa;Mala Causa;514179
532;SK0227514187;Malinova;Malinova;Malinova;514187
533;SK0227514209;Nedozery-Brezany;Nedozery-Brezany;Nedozery-Brezany;514209
534;SK0227514217;Nevidzany;Nevidzany;Nevidzany;514217
535;SK0227514225;Nitrianske Pravno;Nitrianske Pravno;Nitrianske Pravno;514225
536;SK0227514233;Nitrianske Rudno;Nitrianske Rudno;Nitrianske Rudno;514233
537;SK0227514241;Nitrianske Sucany;Nitrianske Sucany;Nitrianske Sucany;514241
538;SK0227514250;Nitrica;Nitrica;Nitrica;514250
539;SK0227514268;Novaky;Novaky;Novaky;514268
